City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,cataingan,12.003,123.992,28.14,78,22,4.07,PH,1688772625
238,santa ana,33.7456,-117.8678,33.56,56,0,4.63,US,1688772525
239,boguchany,58.3814,97.4531,21.44,63,100,1.8,RU,1688772626
240,kirakira,-10.4544,161.9205,28.79,73,100,5.86,SB,1688772628
241,vila velha,-20.3297,-40.2925,22.19,86,0,3.6,BR,1688772628
242,nantucket,41.2835,-70.0995,22.78,100,100,2.06,US,1688772628
243,zouerate,22.7187,-12.4521,32.34,21,4,8.25,MR,1688772629
244,tolanaro,-25.0319,46.9987,19.04,88,20,3.09,MG,1688772629
245,broome,42.2506,-75.833,25.39,83,100,2.57,US,1688772630
246,darwin,-12.4611,130.8418,24.99,50,0,3.6,AU,1688772609
247,praia,14.9215,-23.5087,26.3,83,20,4.12,CV,1688772630
248,ancud,-41.8697,-73.8203,6.23,87,100,5.64,CL,1688772631
249,malabar,-33.9667,151.25,15.01,49,20,7.2,AU,1688772632
250,smithers,54.7804,-127.1743,29.18,32,75,1.54,CA,1688772633
251,picui,-6.5106,-36.3469,21.36,94,95,6.22,BR,1688772633
252,kendari,-3.945,122.4989,23.69,93,94,1.17,ID,1688772510
253,kismayo,-0.3582,42.5454,24.73,76,5,6.91,SO,1688772634
254,sodankyla,67.4167,26.6,10.89,76,88,2.95,FI,1688772634
255,alo,7.4178,6.7371,23.81,96,98,2.4,NG,1688772635
256,montblanc,41.3465,1.1432,23.18,58,35,1.35,ES,1688772635
257,lautoka,-17.6167,177.4667,27.92,65,20,3.09,FJ,1688772636
258,trairi,-3.2778,-39.2689,25.26,85,1,4.02,BR,1688772636
259,westport,41.1415,-73.3579,27.93,80,0,1.54,US,1688772636
260,san julian,21.0167,-102.1667,23.22,49,82,2.82,MX,1688772637
261,broken hill,-31.95,141.4333,11.29,54,2,9.54,AU,1688772637
262,banda aceh,5.5577,95.3222,26.77,81,77,4.46,ID,1688772638
263,tabuk,17.4189,121.4443,27.62,79,11,1.52,PH,1688772638
264,zarechnyy,53.2036,45.1923,19.29,70,0,1.74,RU,1688772638
265,sitangkai,4.6628,119.3928,28.36,74,25,3.76,PH,1688772638
266,sao sepe,-30.1606,-53.5653,15.19,98,100,5.51,BR,1688772639
267,bosaso,11.2842,49.1816,31.01,42,46,10.08,SO,1688772639
268,nakhchivan,39.2089,45.4122,26.82,29,10,6.17,AZ,1688772640
269,rongelap,11.1635,166.8941,28.16,82,100,7.93,MH,1688772640
270,new norfolk,-42.7826,147.0587,12.16,83,100,2.87,AU,1688772640
271,al khawr,25.7667,51.3167,32.7,30,56,1.66,QA,1688772641
272,west bay,19.3667,-81.4167,32.04,69,20,5.14,KY,1688772641
273,puerto madryn,-42.7692,-65.0385,7.64,44,100,2.45,AR,1688772643
274,constantia,44.1833,28.65,22.61,86,83,8.01,RO,1688772382
275,gornopravdinsk,60.05,69.9,14.68,82,39,2.18,RU,1688772644
276,rumoi,43.9344,141.6428,24.52,71,23,0.69,JP,1688772614
277,iwaki,37.05,140.8833,25.43,93,100,2.08,JP,1688772541
278,pocone,-16.2567,-56.6228,26.06,35,3,2.52,BR,1688772645
279,dubbo,-32.25,148.6167,8.07,87,0,3.09,AU,1688772645
280,pokrovskoye,47.4157,38.8971,22.65,67,56,3.39,RU,1688772646
